                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 0.9808,                 4.6536,                0.60377,                0.79114,                 1.2961,                0.85411,                0.72222,                0.88417,                0.58989,                0.47375,                0.27778,                0.20128,                0.06315,                 1.1758,                 5.7847,                0.27259,                 1.2089,                 1.7552,              0.0018328,              0.0018328,              0.0018328
                     40,                0.87854,                 4.6211,                0.59838,                 0.7791,                 1.2257,                0.82014,                0.88671,                0.93245,                0.65317,                0.47242,                0.44444,                0.43232,                0.14453,                 1.0808,                 5.5904,                0.29429,                 1.3192,                 1.7675,              0.0018284,              0.0018284,              0.0018284
                     41,                0.86008,                 4.7492,                0.57358,                 0.6931,                 1.2087,                0.57944,                0.72725,                0.59876,                0.43352,                0.34827,                0.36111,                0.19738,                0.06714,                 1.0851,                 5.6288,                  0.254,                 1.4919,                 1.6623,               0.001824,               0.001824,               0.001824
                     42,                0.96369,                 4.5268,                0.59089,                0.77166,                 1.3264,                0.80588,                0.86111,                0.84174,                0.59134,                0.26574,                0.30556,                 0.1544,                0.03113,                0.99039,                 6.4901,                0.22013,                 1.5883,                 1.5364,              0.0018196,              0.0018196,              0.0018196
                     43,                0.89587,                 4.6317,                0.58342,                0.68746,                 1.2041,                0.66068,                   0.75,                 0.7918,                0.56158,                0.46521,                0.33333,                0.23437,                0.09052,                 1.0059,                 6.3009,                0.23646,                 1.5866,                 1.4798,              0.0018152,              0.0018152,              0.0018152
                     44,                0.91212,                 4.4435,                0.58994,                0.77796,                   1.26,                0.72852,                0.83333,                0.84755,                0.64871,                0.62129,                0.44444,                0.39472,                0.14276,                0.90535,                  5.794,                 0.2411,                  1.323,                 1.4483,              0.0018108,              0.0018108,              0.0018108
                     45,                0.89904,                 4.4902,                0.58824,                0.79455,                 1.2177,                0.86706,                  0.906,                0.96463,                0.74235,                0.49887,                0.52546,                0.38763,                 0.1433,                0.87371,                  5.785,                0.23394,                0.99378,                   1.41,              0.0018064,              0.0018064,              0.0018064
                     46,                0.87087,                 4.1602,                0.57733,                0.69438,                 1.2124,                0.87664,                0.83333,                0.87203,                0.62703,                0.51182,                0.38889,                0.30758,                0.12533,                 1.1888,                 6.0317,                0.24585,                 1.6341,                 1.7732,               0.001802,               0.001802,               0.001802
                     47,                0.88447,                  4.355,                0.56463,                0.73424,                 1.2346,                0.90712,                0.16667,                0.21294,                0.12098,                0.30034,                0.05556,                 0.0365,                0.00365,                  3.356,                 9.2634,                0.52811,                 3.3424,                 3.2336,              0.0017976,              0.0017976,              0.0017976
                     48,                0.85466,                 4.3584,                0.57634,                0.72712,                 1.2039,                0.65179,                0.16667,                0.20073,                0.11767,                0.44519,                0.05556,                0.03399,                0.00409,                 2.2869,                  9.282,                0.61766,                  3.961,                 2.5315,              0.0017932,              0.0017932,              0.0017932
                     49,                0.87213,                 4.3032,                0.57357,                0.71818,                 1.1933,                0.53659,                0.48267,                0.46012,                0.32279,                0.37932,                0.13889,                0.07097,                0.01158,                 1.4771,                 7.5465,                 0.4484,                 2.4653,                 1.8995,              0.0017888,              0.0017888,              0.0017888
                     50,                0.82894,                 4.3432,                0.56766,                0.68774,                 1.1758,                0.57193,                0.47222,                0.37323,                0.24319,                0.33647,                0.13889,                0.09033,                0.02302,                 1.9117,                 8.0542,                0.58234,                 2.1925,                 2.2822,              0.0017844,              0.0017844,              0.0017844
                     51,                0.88896,                 4.4348,                0.57754,                0.74282,                 1.2249,                0.81907,                0.66667,                0.69406,                0.39923,                0.74665,                0.38889,                0.40629,                0.15393,                 1.7865,                 5.4402,                0.30875,                 1.5343,                 2.3643,                0.00178,                0.00178,                0.00178
                     52,                0.89615,                  4.281,                0.57523,                0.72414,                 1.2789,                0.75384,                0.69444,                 0.7595,                0.43276,                0.82284,                0.36111,                0.38491,                0.12254,                 1.7068,                 6.0653,                0.31872,                 1.2414,                 2.0053,              0.0017756,              0.0017756,              0.0017756
                     53,                 0.8542,                 4.1089,                0.57098,                0.72528,                 1.1893,                0.91091,                0.83333,                0.92193,                0.71606,                0.49252,                0.44444,                0.40158,                0.12315,                 0.9524,                 6.4301,                0.27275,                0.82069,                  1.425,              0.0017712,              0.0017712,              0.0017712
                     54,                0.92491,                 4.5479,                 0.5743,                 0.7071,                 1.2578,                0.88548,                0.86111,                0.89835,                0.62304,                0.48736,                0.41667,                0.32746,                0.12571,                 1.0689,                 6.7204,                0.30812,                 0.8996,                  1.512,              0.0017668,              0.0017668,              0.0017668
                     55,                0.90697,                 4.7391,                0.60051,                0.74167,                 1.2973,                0.92109,                   0.75,                0.84282,                0.64111,                0.46675,                0.38903,                0.28187,                0.13743,                 0.9365,                 6.3398,                0.27107,                0.83698,                 1.4084,              0.0017624,              0.0017624,              0.0017624
                     56,                0.88799,                 4.1909,                0.57671,                0.75548,                 1.2421,                0.81948,                0.86111,                0.90395,                 0.7241,                0.56914,                0.33037,                0.29102,                0.15299,                0.79471,                 5.3849,                0.27776,                0.71129,                 1.2001,               0.001758,               0.001758,               0.001758
                     57,                0.86735,                 4.2742,                0.56937,                0.68997,                 1.2133,                0.90159,                0.86111,                0.95602,                0.77668,                 0.6693,                0.39371,                0.40285,                 0.1774,                0.72933,                   6.04,                0.33405,                0.64377,                 1.1582,              0.0017536,              0.0017536,              0.0017536
                     58,                0.78524,                 4.0804,                0.57161,                0.63246,                 1.1228,                0.77235,                0.94247,                0.89839,                0.69746,                0.29294,                0.27778,                0.11301,                0.04411,                 1.0121,                   6.53,                0.36152,                0.83184,                 1.4832,              0.0017492,              0.0017492,              0.0017492
                     59,                0.86854,                 3.9039,                0.56654,                0.71876,                 1.2188,                0.81827,                0.88889,                0.92764,                0.72758,                0.61058,                0.60977,                0.45797,                0.15816,                0.77594,                 5.6056,                0.23051,                 1.0347,                 1.2348,              0.0017448,              0.0017448,              0.0017448
                     60,                 0.8165,                 3.9597,                0.56944,                0.64869,                 1.1793,                0.86949,                0.72222,                0.88185,                0.68033,                0.60525,                    0.5,                0.41881,                0.14564,                  1.033,                 5.8207,                0.21044,                 1.2872,                 1.4244,              0.0017404,              0.0017404,              0.0017404
                     61,                0.82301,                 4.0537,                0.55964,                0.65111,                 1.1695,                0.88477,                0.77778,                0.90811,                0.71198,                 0.3882,                0.41667,                0.34758,                0.15037,                0.91667,                 5.4634,                0.19052,                 1.2517,                 1.3887,               0.001736,               0.001736,               0.001736
                     62,                0.83707,                 4.3521,                0.56125,                0.64962,                 1.1953,                0.83612,                0.85054,                0.92448,                0.73393,                0.56975,                0.38889,                0.36034,                0.14885,                 0.8516,                 4.2408,                0.19494,                 1.1328,                 1.2747,              0.0017316,              0.0017316,              0.0017316
                     63,                0.89777,                  4.149,                0.61243,                 0.7269,                 1.2508,                0.69862,                0.97222,                0.90568,                0.72201,                0.40765,                0.44444,                0.28409,                0.09459,                 0.8518,                 4.3418,                0.19776,                   1.02,                 1.2864,              0.0017272,              0.0017272,              0.0017272
                     64,                0.85542,                 4.1498,                0.56679,                0.69004,                 1.2069,                0.88633,                0.77778,                0.89598,                0.73135,                0.82315,                0.58333,                0.60728,                0.20429,                0.77466,                 4.6192,                0.22401,                0.87011,                 1.2281,              0.0017228,              0.0017228,              0.0017228
                     65,                0.81849,                 3.9849,                0.56984,                0.67619,                  1.175,                0.89148,                0.80556,                0.92987,                0.70162,                0.77865,                0.52778,                0.57079,                0.25362,                0.99413,                  4.726,                0.24859,                0.88463,                 1.4201,              0.0017184,              0.0017184,              0.0017184
                     66,                0.87376,                 3.8256,                0.55517,                 0.6656,                 1.2166,                 0.9469,                0.80556,                 0.9483,                0.74491,                0.57396,                0.63889,                0.52283,                0.19783,                0.85439,                 4.8009,                 0.2531,                0.65818,                 1.2975,               0.001714,               0.001714,               0.001714
                     67,                0.78026,                 3.7103,                0.53675,                0.62113,                 1.1244,                 0.9373,                0.88889,                0.96981,                0.82185,                0.72384,                0.66667,                0.60692,                0.26018,                0.72099,                 4.3889,                0.22949,                0.67786,                  1.175,              0.0017096,              0.0017096,              0.0017096
                     68,                0.82889,                 3.5655,                0.56486,                0.61318,                 1.2083,                0.91103,                0.88889,                 0.9504,                0.76147,                 0.6713,                0.52778,                0.55212,                0.22995,                0.75928,                 4.3043,                0.22541,                0.85551,                 1.2284,              0.0017052,              0.0017052,              0.0017052
