                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 0.5848,                 2.4972,                0.41194,                0.57144,                 1.1109,                0.93105,                   0.95,                0.97948,                0.76484,                0.70672,                   0.75,                0.73102,                0.24103,                0.67381,                 3.0692,                0.10892,                 1.2626,                 1.2034,              0.0010694,              0.0010694,              0.0010694
                     49,                0.57735,                 2.3263,                  0.344,                0.57244,                 1.0653,                0.88051,                   0.95,                0.96607,                0.80441,                0.79421,                   0.85,                0.83868,                0.31883,                0.61721,                 2.8474,                 0.1093,                 1.4168,                 1.1676,              0.0010496,              0.0010496,              0.0010496
                     50,                0.61666,                 2.4869,                 0.4015,                0.55838,                 1.1154,                0.86047,                0.92558,                 0.9625,                0.80716,                0.76523,                0.81538,                0.85125,                0.34308,                0.55448,                 2.7132,                0.11508,                 1.3884,                 1.1369,              0.0010298,              0.0010298,              0.0010298
                     51,                0.62576,                  2.149,                 0.3432,                0.62728,                 1.1762,                0.79371,                   0.95,                0.96149,                 0.7883,                0.74806,                    0.9,                0.88198,                0.31746,                0.62497,                 2.7528,                0.15682,                 1.2343,                 1.1343,                0.00101,                0.00101,                0.00101
                     52,                0.67334,                 2.6708,                0.40926,                0.69837,                 1.1699,                0.93781,                    0.4,                0.47297,                0.40751,                0.93781,                    0.4,                0.49287,                 0.1332,                 1.2083,                 3.7137,                0.29691,                 2.1781,                 1.6925,              0.0009902,              0.0009902,              0.0009902
                     53,                0.60462,                 2.9067,                0.37227,                0.63554,                 1.1089,                0.95862,                    0.7,                0.90386,                0.73251,                0.87541,                   0.85,                0.92357,                0.29757,                0.62166,                 2.6334,                0.12444,                0.97042,                 1.2095,              0.0009704,              0.0009704,              0.0009704
                     54,                0.60683,                 2.6219,                0.35843,                0.61173,                 1.1422,                0.95006,                0.95121,                0.99262,                0.84424,                0.95006,                0.95121,                0.99262,                0.33402,                0.53565,                 2.5039,                0.09078,                 0.9378,                 1.1088,              0.0009506,              0.0009506,              0.0009506
                     55,                0.63154,                 2.2547,                0.36464,                0.58143,                  1.194,                0.94866,                      1,                  0.995,                0.91692,                0.82653,                    0.9,                0.87042,                 0.3079,                 0.4034,                 2.6136,                0.07325,                 1.1217,                0.97429,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.5148,                 2.8168,                0.38051,                0.50402,                 1.0923,                0.90092,                      1,                0.98591,                0.92948,                0.82919,                   0.75,                0.83995,                0.30834,                0.38088,                 2.5768,                0.06989,                 1.1548,                0.98138,               0.000911,               0.000911,               0.000911
                     57,                 0.5514,                  2.783,                0.35977,                0.55087,                 1.0934,                0.90191,                0.92005,                0.98591,                0.92653,                0.85607,                0.89249,                0.95889,                0.37539,                0.42546,                 2.4545,                0.07215,                0.95154,                 1.0037,              0.0008912,              0.0008912,              0.0008912
                     58,                0.63817,                 2.5627,                0.36563,                0.57804,                 1.1815,                      1,                0.88538,                0.98024,                0.87385,                0.94358,                0.83684,                 0.9267,                0.35958,                0.47226,                 2.5784,                0.08049,                0.64181,                 1.0312,              0.0008714,              0.0008714,              0.0008714
                     59,                0.57099,                 2.2551,                0.35828,                0.53692,                 1.1358,                0.99426,                      1,                  0.995,                 0.8904,                0.94392,                   0.95,                0.93461,                0.30771,                0.49835,                 2.8205,                0.09389,                 0.5803,                 1.0388,              0.0008516,              0.0008516,              0.0008516
                     60,                0.54433,                 2.5408,                0.35684,                0.53025,                 1.0553,                      1,                0.89414,                0.96655,                 0.8861,                0.94412,                0.84498,                0.86603,                0.33477,                 0.3923,                 2.6599,                 0.0892,                0.53501,                 0.9769,              0.0008318,              0.0008318,              0.0008318
                     61,                0.52176,                 2.2996,                0.34302,                0.52189,                 1.1081,                      1,                0.89847,                 0.9787,                0.90778,                0.94443,                0.84973,                0.84702,                0.32577,                0.38264,                 2.6366,                0.08641,                0.50091,                0.98087,               0.000812,               0.000812,               0.000812
                     62,                0.56494,                 2.5456,                0.37918,                0.53809,                 1.1169,                      1,                0.89074,                0.96315,                0.87325,                0.94395,                0.84239,                0.85392,                0.30344,                0.40026,                 2.6408,                0.09436,                0.56854,                  1.005,              0.0007922,              0.0007922,              0.0007922
                     63,                0.56598,                 2.3657,                0.31874,                0.52474,                 1.1096,                      1,                0.89427,                 0.9613,                0.90389,                      1,                0.89427,                0.91933,                0.31948,                0.37748,                 2.5689,                0.09453,                0.52841,                0.99689,              0.0007724,              0.0007724,              0.0007724
                     64,                0.58608,                 2.4581,                0.33659,                0.46763,                 1.1409,                0.94885,                0.92815,                0.98598,                 0.9108,                0.94885,                0.92815,                0.98598,                 0.3363,                0.41327,                 2.6603,                0.08018,                0.46332,                0.99379,              0.0007526,              0.0007526,              0.0007526
